scenario,u,v,distance_m,speed_mps,congest_base
OSM_MEDIUM,187,188,1.487089086932632,9.436734127874495,0.3333333332222222
OSM_MEDIUM,188,189,1.4747241046412136,11.494582648380007,0.3333333332222222
OSM_MEDIUM,190,194,3.674175314752973,10.79311316929153,0.3333333332222222
OSM_MEDIUM,191,199,35.27740421220993,12.335381494266567,0.3333333332222222
OSM_MEDIUM,193,203,10.985519626752037,11.821533419309443,0.3333333332222222
OSM_MEDIUM,194,196,3.2115575085019246,9.364484832589739,0.4999999998333333
OSM_MEDIUM,195,199,5.331256321834419,11.156889891704537,0.3333333332222222
OSM_MEDIUM,196,201,7.143672805605305,9.838446066403325,0.4999999998333333
OSM_MEDIUM,196,200,4.013935664126783,10.061371163598977,0.4999999998333333
OSM_MEDIUM,197,202,18.868281209692853,10.345278679623453,0.3333333332222222
OSM_MEDIUM,198,210,13.195957763973606,9.774263690605828,0.4999999998333333
OSM_MEDIUM,200,204,4.26757475710985,9.989368932727546,0.3333333332222222
OSM_MEDIUM,201,205,5.650123641926947,10.321792779416038,0.3333333332222222
OSM_MEDIUM,202,211,7.7855291994145785,10.792815364774333,0.4999999998333333
OSM_MEDIUM,203,206,3.3100032793555645,12.2688393533735,0.3333333332222222
OSM_MEDIUM,204,207,4.711589919357086,9.689077728118276,0.3333333332222222
OSM_MEDIUM,205,209,5.678449383259586,9.696088566418553,0.3333333332222222
OSM_MEDIUM,206,208,13.156499394283225,9.513857383834994,0.3333333332222222
OSM_MEDIUM,207,212,4.449043884896836,10.565052158012477,0.3333333332222222
OSM_MEDIUM,208,210,6.446425696577809,8.246959028370819,0.4999999998333333
OSM_MEDIUM,209,214,6.87466945891328,10.155151596782668,0.3333333332222222
OSM_MEDIUM,210,246,26.247058742951587,8.096783766728958,0.6666666664444444
OSM_MEDIUM,211,218,8.202916008398955,10.171987627313792,0.3333333332222222
OSM_MEDIUM,212,215,4.238632456483441,11.782510728566042,0.3333333332222222
OSM_MEDIUM,213,227,32.730924010673995,11.597315959940365,0.1666666666111111
OSM_MEDIUM,214,220,6.208428137060367,10.485738542982169,0.3333333332222222
OSM_MEDIUM,215,222,4.1217453447715515,11.68318317708176,0.3333333332222222
OSM_MEDIUM,216,219,4.217449845791503,11.252167202800464,0.3333333332222222
OSM_MEDIUM,216,221,3.887259543717176,10.59511813710904,0.3333333332222222
OSM_MEDIUM,217,223,3.0017710765544208,9.705745784636134,0.4999999998333333
OSM_MEDIUM,218,233,7.169452801482414,9.0199044473123,0.4999999998333333
OSM_MEDIUM,219,235,30.114655422644155,11.973824973150887,0.3333333332222222
OSM_MEDIUM,220,224,4.337959398894694,11.566398719889552,0.3333333332222222
OSM_MEDIUM,221,227,7.171717450683562,10.417728857591568,0.3333333332222222
OSM_MEDIUM,222,229,4.720552554041908,11.133814843624894,0.3333333332222222
