u,v,length_m,lon_u,lat_u,lon_v,lat_v,speed_mps,congest_base
214,256,34.358,-3.1899010,55.9473900,-3.1893860,55.9475020,9.992058,0.500000
215,218,4.014,-3.1898900,55.9455820,-3.1898260,55.9455840,9.939242,0.375000
215,223,7.144,-3.1898900,55.9455820,-3.1898000,55.9456220,11.193355,0.375000
216,217,5.935,-3.1898610,55.9473330,-3.1898270,55.9472830,8.304113,0.500000
216,258,34.366,-3.1898610,55.9473330,-3.1893470,55.9474460,7.648511,0.750000
217,219,1.202,-3.1898270,55.9472830,-3.1898200,55.9472730,11.159311,0.250000
218,226,4.268,-3.1898260,55.9455840,-3.1897580,55.9455870,11.645193,0.250000
219,235,15.430,-3.1898200,55.9472730,-3.1895910,55.9473260,11.427953,0.250000
220,229,7.707,-3.1898130,55.9455480,-3.1896980,55.9455730,10.183030,0.250000
221,225,11.012,-3.1898090,55.9451170,-3.1897630,55.9450220,9.650123,0.375000
222,224,3.945,-3.1898060,55.9472540,-3.1897840,55.9472200,10.243707,0.250000
222,257,31.008,-3.1898060,55.9472540,-3.1893510,55.9473670,11.174169,0.250000
223,228,5.650,-3.1898000,55.9456220,-3.1897310,55.9456550,12.644952,0.250000
224,232,8.820,-3.1897840,55.9472200,-3.1896510,55.9472490,10.825055,0.250000
225,227,3.011,-3.1897630,55.9450220,-3.1897500,55.9449960,10.776349,0.375000
225,273,40.141,-3.1897630,55.9450220,-3.1891410,55.9451180,11.913641,0.375000
226,230,4.712,-3.1897580,55.9455870,-3.1896840,55.9455970,11.307705,0.250000
227,234,33.284,-3.1897500,55.9449960,-3.1896070,55.9447070,13.079334,0.125000
228,231,5.678,-3.1897310,55.9456550,-3.1896650,55.9456900,10.951339,0.250000
229,233,6.546,-3.1896980,55.9455730,-3.1896170,55.9456110,9.284928,0.375000
230,233,4.449,-3.1896840,55.9455970,-3.1896170,55.9456110,9.519588,0.375000
231,236,6.875,-3.1896650,55.9456900,-3.1895870,55.9457340,13.060146,0.250000
232,265,25.494,-3.1896510,55.9472490,-3.1892690,55.9473310,10.372042,0.375000
233,237,4.239,-3.1896170,55.9456110,-3.1895570,55.9456290,10.574957,0.375000
235,257,15.592,-3.1895910,55.9473260,-3.1893510,55.9473670,13.134067,0.250000
236,241,6.208,-3.1895870,55.9457340,-3.1895210,55.9457760,10.145659,0.250000
237,242,4.122,-3.1895570,55.9456290,-3.1895030,55.9456500,10.197813,0.250000
238,243,3.002,-3.1895320,55.9459050,-3.1894950,55.9458870,9.927999,0.375000
239,254,11.170,-3.1895280,55.9455630,-3.1893920,55.9456280,11.251136,0.250000
240,251,7.169,-3.1895260,55.9479320,-3.1894150,55.9479480,13.075268,0.125000
241,244,4.338,-3.1895210,55.9457760,-3.1894850,55.9458090,9.649548,0.375000
242,248,4.721,-3.1895030,55.9456500,-3.1894500,55.9456810,12.346959,0.250000
243,245,3.024,-3.1894950,55.9458870,-3.1894790,55.9458610,11.851486,0.375000
243,247,2.797,-3.1894950,55.9458870,-3.1894510,55.9458840,9.316458,0.375000
244,246,4.136,-3.1894850,55.9458090,-3.1894770,55.9458460,11.321172,0.375000
244,255,5.866,-3.1894850,55.9458090,-3.1893910,55.9458090,8.855939,0.500000
245,246,1.718,-3.1894790,55.9458610,-3.1894770,55.9458460,12.318154,0.250000
247,253,3.573,-3.1894510,55.9458840,-3.1893930,55.9458870,10.603881,0.375000
248,261,13.144,-3.1894500,55.9456810,-3.1893120,55.9457700,10.580557,0.500000
249,362,86.911,-3.1894470,55.9445890,-3.1881000,55.9447940,10.135378,0.375000
250,282,42.095,-3.1894460,55.9465320,-3.1889030,55.9463060,11.895324,0.250000
251,260,8.351,-3.1894150,55.9479480,-3.1893150,55.9478980,11.022679,0.250000
252,256,3.291,-3.1894060,55.9475290,-3.1893860,55.9475020,7.323533,0.625000
252,303,56.623,-3.1894060,55.9475290,-3.1885580,55.9477130,9.505218,0.500000
253,255,8.630,-3.1893930,55.9458870,-3.1893910,55.9458090,8.713493,0.500000
253,259,3.889,-3.1893930,55.9458870,-3.1893340,55.9458980,10.171539,0.375000
254,271,15.404,-3.1893920,55.9456280,-3.1892040,55.9457180,12.035966,0.375000
255,261,6.591,-3.1893910,55.9458090,-3.1893120,55.9457700,8.945233,0.625000
256,258,6.664,-3.1893860,55.9475020,-3.1893470,55.9474460,6.655542,0.750000
256,283,33.634,-3.1893860,55.9475020,-3.1888820,55.9476100,8.336487,0.500000
258,262,6.583,-3.1893470,55.9474460,-3.1893090,55.9473900,9.778517,0.500000
258,272,12.530,-3.1893470,55.9474460,-3.1891600,55.9474870,10.333863,0.500000
259,263,3.575,-3.1893340,55.9458980,-3.1892840,55.9459140,12.185898,0.250000
260,295,42.562,-3.1893150,55.9478980,-3.1886730,55.9480290,11.639771,0.250000
261,266,5.071,-3.1893120,55.9457700,-3.1892640,55.9458070,8.667792,0.500000
261,271,8.819,-3.1893120,55.9457700,-3.1892040,55.9457180,8.501117,0.625000
262,265,7.019,-3.1893090,55.9473900,-3.1892690,55.9473310,11.985562,0.375000
263,267,3.079,-3.1892840,55.9459140,-3.1892470,55.9459320,10.915305,0.250000
264,268,9.031,-3.1892730,55.9474180,-3.1892210,55.9473420,12.813248,0.250000
264,274,9.406,-3.1892730,55.9474180,-3.1891330,55.9474490,8.713733,0.500000
265,268,3.210,-3.1892690,55.9473310,-3.1892210,55.9473420,9.364887,0.375000
266,270,5.796,-3.1892640,55.9458070,-3.1892100,55.9458490,11.040408,0.250000
267,269,2.840,-3.1892470,55.9459320,-3.1892190,55.9459520,10.601773,0.250000
269,285,43.418,-3.1892190,55.9459520,-3.1888200,55.9462720,11.220034,0.375000
270,277,20.254,-3.1892100,55.9458490,-3.1890200,55.9459970,12.478672,0.250000
271,278,21.436,-3.1892040,55.9457180,-3.1889870,55.9458680,11.605280,0.375000
272,274,4.556,-3.1891600,55.9474870,-3.1891330,55.9474490,8.436411,0.500000
273,276,5.726,-3.1891410,55.9451180,-3.1890530,55.9451320,12.060141,0.250000
274,275,8.975,-3.1891330,55.9474490,-3.1890800,55.9473740,10.542423,0.375000
274,279,10.382,-3.1891330,55.9474490,-3.1889780,55.9474840,9.934777,0.500000
