node_id,lon,lat
206,-3.1900340,55.9444980
207,-3.1900180,55.9450990
208,-3.1900120,55.9450860
209,-3.1900050,55.9450730
210,-3.1899850,55.9455510
211,-3.1899640,55.9466570
212,-3.1899330,55.9455660
213,-3.1899230,55.9455350
214,-3.1899010,55.9473900
215,-3.1898900,55.9455820
216,-3.1898610,55.9473330
217,-3.1898270,55.9472830
218,-3.1898260,55.9455840
219,-3.1898200,55.9472730
220,-3.1898130,55.9455480
221,-3.1898090,55.9451170
222,-3.1898060,55.9472540
223,-3.1898000,55.9456220
224,-3.1897840,55.9472200
225,-3.1897630,55.9450220
226,-3.1897580,55.9455870
227,-3.1897500,55.9449960
228,-3.1897310,55.9456550
229,-3.1896980,55.9455730
230,-3.1896840,55.9455970
231,-3.1896650,55.9456900
232,-3.1896510,55.9472490
233,-3.1896170,55.9456110
234,-3.1896070,55.9447070
235,-3.1895910,55.9473260
236,-3.1895870,55.9457340
237,-3.1895570,55.9456290
238,-3.1895320,55.9459050
239,-3.1895280,55.9455630
240,-3.1895260,55.9479320
241,-3.1895210,55.9457760
242,-3.1895030,55.9456500
243,-3.1894950,55.9458870
244,-3.1894850,55.9458090
245,-3.1894790,55.9458610
246,-3.1894770,55.9458460
247,-3.1894510,55.9458840
248,-3.1894500,55.9456810
249,-3.1894470,55.9445890
250,-3.1894460,55.9465320
251,-3.1894150,55.9479480
252,-3.1894060,55.9475290
253,-3.1893930,55.9458870
254,-3.1893920,55.9456280
255,-3.1893910,55.9458090
256,-3.1893860,55.9475020
257,-3.1893510,55.9473670
258,-3.1893470,55.9474460
259,-3.1893340,55.9458980
260,-3.1893150,55.9478980
261,-3.1893120,55.9457700
262,-3.1893090,55.9473900
263,-3.1892840,55.9459140
264,-3.1892730,55.9474180
265,-3.1892690,55.9473310
266,-3.1892640,55.9458070
267,-3.1892470,55.9459320
268,-3.1892210,55.9473420
269,-3.1892190,55.9459520
270,-3.1892100,55.9458490
271,-3.1892040,55.9457180
272,-3.1891600,55.9474870
273,-3.1891410,55.9451180
274,-3.1891330,55.9474490
275,-3.1890800,55.9473740
276,-3.1890530,55.9451320
277,-3.1890200,55.9459970
278,-3.1889870,55.9458680
279,-3.1889780,55.9474840
280,-3.1889280,55.9459060
281,-3.1889250,55.9474060
283,-3.1888820,55.9476100
284,-3.1888470,55.9459630
285,-3.1888200,55.9462720
286,-3.1888140,55.9463730
287,-3.1888090,55.9475050
288,-3.1887820,55.9460110
289,-3.1887790,55.9450980
290,-3.1887650,55.9474400
291,-3.1887530,55.9460280
292,-3.1887350,55.9463340
293,-3.1887200,55.9460390
294,-3.1887170,55.9451070
295,-3.1886730,55.9480290
296,-3.1886680,55.9451050
297,-3.1886680,55.9451920
298,-3.1886610,55.9462720
