u,v,length_m,lon_u,lat_u,lon_v,lat_v,speed_mps,congest_base
142,145,3.676,-3.1907410,55.9474550,-3.1907210,55.9474230,11.825053,0.250000
142,148,6.921,-3.1907410,55.9474550,-3.1906920,55.9475110,10.792514,0.250000
143,148,8.353,-3.1907390,55.9475810,-3.1906920,55.9475110,11.417128,0.250000
143,150,3.461,-3.1907390,55.9475810,-3.1906870,55.9475920,11.844322,0.375000
144,146,1.464,-3.1907270,55.9451940,-3.1907050,55.9451980,12.767731,0.250000
144,160,22.925,-3.1907270,55.9451940,-3.1906250,55.9449960,8.926965,0.500000
145,151,7.009,-3.1907210,55.9474230,-3.1906810,55.9473650,11.021554,0.250000
146,149,1.032,-3.1907050,55.9451980,-3.1906890,55.9452010,12.801826,0.250000
147,156,3.083,-3.1906990,55.9464590,-3.1906500,55.9464580,10.671339,0.500000
149,177,23.421,-3.1906890,55.9452010,-3.1903310,55.9452650,11.227299,0.250000
150,153,1.591,-3.1906870,55.9475920,-3.1906630,55.9475980,8.522281,0.500000
150,154,5.772,-3.1906870,55.9475920,-3.1906570,55.9475430,10.827090,0.500000
151,157,3.076,-3.1906810,55.9473650,-3.1906340,55.9473740,10.704837,0.500000
152,175,19.473,-3.1906750,55.9454100,-3.1903800,55.9454690,8.754768,0.500000
153,154,6.051,-3.1906630,55.9475980,-3.1906570,55.9475430,8.912664,0.500000
153,161,2.526,-3.1906630,55.9475980,-3.1906250,55.9476060,11.754104,0.375000
154,159,11.155,-3.1906570,55.9475430,-3.1906270,55.9474440,8.657388,0.500000
155,158,1.331,-3.1906520,55.9450960,-3.1906310,55.9450990,10.832953,0.250000
155,162,5.970,-3.1906520,55.9450960,-3.1906240,55.9450440,10.255991,0.250000
156,167,4.663,-3.1906500,55.9464580,-3.1905940,55.9464870,9.126271,0.500000
156,238,92.927,-3.1906500,55.9464580,-3.1895320,55.9459050,8.758905,0.500000
157,159,7.786,-3.1906340,55.9473740,-3.1906270,55.9474440,7.770476,0.625000
157,169,13.771,-3.1906340,55.9473740,-3.1905480,55.9472600,8.450254,0.625000
157,171,6.150,-3.1906340,55.9473740,-3.1905420,55.9473940,6.876443,0.750000
158,172,6.024,-3.1906310,55.9450990,-3.1905390,55.9451150,10.443935,0.250000
159,171,7.692,-3.1906270,55.9474440,-3.1905420,55.9473940,8.516026,0.625000
160,163,2.013,-3.1906250,55.9449960,-3.1906160,55.9449790,8.220597,0.500000
160,165,1.619,-3.1906250,55.9449960,-3.1906000,55.9450000,8.086369,0.625000
161,170,14.246,-3.1906250,55.9476060,-3.1905430,55.9474860,13.218215,0.250000
162,164,2.799,-3.1906240,55.9450440,-3.1906110,55.9450200,10.199582,0.250000
163,191,30.533,-3.1906160,55.9449790,-3.1901440,55.9450520,12.450640,0.250000
164,165,2.323,-3.1906110,55.9450200,-3.1906000,55.9450000,9.424113,0.375000
165,188,28.638,-3.1906000,55.9450000,-3.1901600,55.9450750,10.301078,0.500000
166,169,3.472,-3.1905970,55.9472450,-3.1905480,55.9472600,11.252552,0.375000
167,211,43.608,-3.1905940,55.9464870,-3.1899640,55.9466570,11.333034,0.125000
168,170,1.054,-3.1905590,55.9474830,-3.1905430,55.9474860,11.899884,0.250000
168,173,9.580,-3.1905590,55.9474830,-3.1905020,55.9474030,13.023551,0.250000
169,174,6.183,-3.1905480,55.9472600,-3.1904610,55.9472870,10.397173,0.500000
171,173,2.691,-3.1905420,55.9473940,-3.1905020,55.9474030,10.530996,0.500000
171,174,12.928,-3.1905420,55.9473940,-3.1904610,55.9472870,8.327055,0.625000
172,181,17.408,-3.1905390,55.9451150,-3.1902710,55.9451600,11.855549,0.250000
174,180,10.333,-3.1904610,55.9472870,-3.1903160,55.9473320,12.028684,0.375000
175,176,5.367,-3.1903800,55.9454690,-3.1903540,55.9454230,8.857487,0.625000
175,204,22.124,-3.1903800,55.9454690,-3.1900450,55.9455360,8.199601,0.500000
176,179,6.337,-3.1903540,55.9454230,-3.1903230,55.9453690,9.378162,0.500000
176,239,53.726,-3.1903540,55.9454230,-3.1895280,55.9455630,10.718243,0.500000
177,178,0.981,-3.1903310,55.9452650,-3.1903260,55.9452560,12.596421,0.250000
178,182,4.032,-3.1903260,55.9452560,-3.1902640,55.9452670,9.364485,0.500000
179,182,11.884,-3.1903230,55.9453690,-3.1902640,55.9452670,9.694249,0.500000
180,252,60.753,-3.1903160,55.9473320,-3.1894060,55.9475290,10.951744,0.375000
181,184,3.871,-3.1902710,55.9451600,-3.1902120,55.9451700,11.199895,0.375000
182,183,2.004,-3.1902640,55.9452670,-3.1902330,55.9452730,9.774264,0.500000
182,184,11.292,-3.1902640,55.9452670,-3.1902120,55.9451700,7.971857,0.625000
183,186,2.321,-3.1902330,55.9452730,-3.1901980,55.9452790,10.644160,0.250000
184,188,11.082,-3.1902120,55.9451700,-3.1901600,55.9450750,8.968631,0.500000
185,186,1.020,-3.1902020,55.9452880,-3.1901980,55.9452790,13.235400,0.250000
185,189,3.512,-3.1902020,55.9452880,-3.1901480,55.9452970,13.073047,0.250000
187,206,8.326,-3.1901620,55.9444770,-3.1900340,55.9444980,11.276846,0.125000
188,193,3.183,-3.1901600,55.9450750,-3.1901100,55.9450810,9.378305,0.375000
189,198,12.632,-3.1901480,55.9452970,-3.1900870,55.9451890,10.137479,0.250000
190,191,0.450,-3.1901450,55.9450560,-3.1901440,55.9450520,10.113376,0.250000
190,192,1.730,-3.1901450,55.9450560,-3.1901190,55.9450600,11.257578,0.250000
192,195,1.733,-3.1901190,55.9450600,-3.1900920,55.9450640,10.820809,0.250000
193,202,3.210,-3.1901100,55.9450810,-3.1900590,55.9450820,11.693496,0.250000
194,196,3.949,-3.1901080,55.9451850,-3.1900910,55.9451510,12.554840,0.250000
194,198,1.403,-3.1901080,55.9451850,-3.1900870,55.9451890,10.838749,0.250000
195,197,0.450,-3.1900920,55.9450640,-3.1900900,55.9450600,10.925234,0.250000
196,199,0.741,-3.1900910,55.9451510,-3.1900790,55.9451530,11.173066,0.250000
197,209,5.469,-3.1900900,55.9450600,-3.1900050,55.9450730,12.449002,0.250000
199,200,0.792,-3.1900790,55.9451530,-3.1900710,55.9451470,11.989733,0.250000
200,201,0.834,-3.1900710,55.9451470,-3.1900600,55.9451430,11.289615,0.250000
201,203,0.805,-3.1900600,55.9451430,-3.1900490,55.9451390,11.902309,0.250000
202,208,2.962,-3.1900590,55.9450820,-3.1900120,55.9450860,9.019904,0.500000
203,205,0.895,-3.1900490,55.9451390,-3.1900360,55.9451360,12.758695,0.250000
204,210,4.077,-3.1900450,55.9455360,-3.1899850,55.9455510,11.187317,0.375000
204,213,7.646,-3.1900450,55.9455360,-3.1899230,55.9455350,10.076294,0.375000
205,207,4.264,-3.1900360,55.9451360,-3.1900180,55.9450990,11.863623,0.250000
206,249,37.897,-3.1900340,55.9444980,-3.1894470,55.9445890,12.500526,0.250000
207,208,1.487,-3.1900180,55.9450990,-3.1900120,55.9450860,8.331229,0.500000
208,209,1.475,-3.1900120,55.9450860,-3.1900050,55.9450730,9.287458,0.500000
208,221,13.072,-3.1900120,55.9450860,-3.1898090,55.9451170,10.446150,0.500000
210,212,3.674,-3.1899850,55.9455510,-3.1899330,55.9455660,10.826690,0.250000
212,215,3.212,-3.1899330,55.9455660,-3.1898900,55.9455820,9.491121,0.375000
213,220,6.953,-3.1899230,55.9455350,-3.1898130,55.9455480,11.225781,0.250000
214,216,6.840,-3.1899010,55.9473900,-3.1898610,55.9473330,10.265366,0.500000
214,256,34.358,-3.1899010,55.9473900,-3.1893860,55.9475020,8.890241,0.500000
